atr,mins_open,macd_z,vol_z,implied_vol,pnl,target
0.6439214285714294,15,2.942109824404579,1.3246287913176584,0.7724446036513812,19.33,1
0.24510000000000584,115,2.968310754112383,2.3543537798637106,0.3449371527981488,-492.47,0
0.23772857142857617,116,3.2730299659347706,1.0572437619698012,0.340172331789551,34.95,1
0.23136428571428627,121,2.407770237729022,1.0518692096892965,0.31591536672952014,40.21,1
0.24343571428571562,146,1.6924965057898962,2.0597951833129424,0.25219200656347274,9.0,1
0.2036214285714298,184,-2.762166963419113,1.2253654007651569,0.22127376098156928,7.17,1
0.16469285714285928,236,2.6313686634650773,1.4589685819890068,0.1942069800952922,21.79,1
0.2041071428571501,239,2.652144497997546,2.4606478478514404,0.2430057403590569,31.74,1
0.23967142857142676,150,2.6312998352427153,1.8849727002003742,0.2985060828716692,-368.8,0
0.2293071428571421,151,2.9005916510872454,2.489507231730669,0.28879671002849533,-334.21,0
0.2235928571428555,152,2.8680641165410927,1.573368211463137,0.2887691935100816,-333.67,0
0.21789999999999818,154,2.773136261697938,2.402528759838434,0.28670442669000984,40.37,1
0.21897142857142576,155,2.7757106436450463,1.1625685667745205,0.24562065440818576,93.64,1
0.21325714285713918,156,2.681851183312929,2.2823887404854393,0.22266158587058751,28.85,1
0.21074999999999836,157,2.590861902624375,2.2945213935108417,0.21766765961362283,35.16,1
0.21934285714285043,161,1.8538488077845408,1.3385650703095293,0.2535095731650092,35.6,1
0.1602571428571419,237,1.940725277137345,2.173435829230056,0.23391325822687556,11.15,1
0.1634714285714267,238,2.2072226160297017,1.1126475118122423,0.23327511753609606,13.49,1
0.15065714285714396,241,1.6625145831499293,1.2030117594533662,0.23481475740276145,3.13,1
0.17100714285714144,260,1.7534789837455886,1.2204706480045409,0.16160685408538522,16.25,1
0.15957142857142717,261,1.9711543927724566,1.4255245328691442,0.15858238230243832,34.26,1
0.15349285714285696,262,2.3300813764224424,1.3453412888992624,0.16037017736435322,43.76,1
0.15920714285714357,264,2.6082827034131033,2.8118250054482647,0.16230253481764054,70.7,1
0.15655714285714697,266,2.342855351750744,1.0408213363905,0.16379826584512097,40.19,1
0.1569500000000009,268,2.1812885270363833,4.936028740228946,0.16221072686221735,22.01,1
0.38139285714285415,116,1.572624342759249,1.497953404782578,0.5023801980965247,-536.36,0
0.36424999999999635,117,1.6287176619598274,2.032867520817197,0.48106696351342493,-489.47,0
0.2871928571428616,145,2.1904737132013468,1.010869740073558,0.37475390888959353,48.38,1
0.28259285714286314,148,1.9199662186140058,1.5958028882006408,0.35213144345982456,44.19,1
0.3545785714285716,163,-2.7100579442475308,1.0979795938966823,0.46968962325695446,120.57,1
0.2623857142857154,216,1.5576107751686747,3.997154250170449,0.42845955580457257,138.66,1
0.2450357142857119,240,1.6463533024702424,1.5668064731173683,0.2878220567899086,35.23,1
0.5612714285714263,30,1.893369556670456,1.9522169431710361,0.7203921749446179,68.8,1
0.39405714285714616,99,1.812243889462901,4.456002022458368,0.43123224008421956,-347.61,0
0.37976428571428755,100,2.0597613606659633,1.2493611917130596,0.43312422176234056,-430.33,0
0.37432142857142836,104,2.5599184719955304,1.008089686827001,0.4273812255189058,465.81,1
0.3664642857142845,105,2.3750786276785285,2.1002195516387046,0.4275642923802267,456.44,1
0.40967857142857156,106,2.557137017167914,3.039813663366791,0.5015466211323727,251.78,1
0.42324999999999996,107,2.6274844200605596,2.51341664114352,0.5060562435005428,138.96,1
0.442771428571429,108,2.4281591413171637,2.7595658011165356,0.5176380877353141,125.69,1
0.47469999999999857,111,2.175325354328105,1.2671336496017918,0.538475857537696,92.35,1
0.49112857142856925,112,1.9701521291395871,1.014194894360256,0.5717386185147015,64.5,1
0.299592857142855,164,2.536633793746798,1.6427588449617114,0.3086562242902611,26.61,1
0.24741428571428312,186,-2.647086821724222,1.3342290728043733,0.27281465874124655,-242.06,0
0.293371428571431,233,1.5551058361571715,1.1546928860982193,0.38351959172128114,31.54,1
0.6186857142857158,15,2.596045710661035,1.207541268857868,0.6225099226704307,55.95,1
0.2480857142857157,125,-2.6382095675398354,3.109615827236497,0.33252374409189805,128.83,1
0.2543571428571454,126,-2.7954911253063863,4.106198006938001,0.32515628561764504,19.58,1
0.2646285714285739,127,-2.7526913694744377,1.372579552764431,0.32150928935022394,22.46,1
0.2760285714285727,128,-2.6772013362658442,1.4234067791196265,0.292909856302504,28.68,1
0.20370714285714492,153,1.9146938989087334,1.0383443247885589,0.2727065799118753,211.03,1
0.21514285714285922,154,1.7966801573889426,1.8455591054878522,0.27561581915798383,197.34,1
